Rk,Team,Age,W,L,off_eFG%,off_TOV%,off_ORB%,off_FT/FGA,def_eFG%,def_TOV%,def_DRB%,def_FT/FGA,Arena,Attend.,Attend./G
1,Milwaukee Bucks*,26.9,60,22,0.55,12,20.8,0.197,0.503,11.5,80.3,0.162,Fiserv Forum,721692,17602
2,Golden State Warriors*,28.4,57,25,0.565,12.6,22.5,0.182,0.508,11.7,77.1,0.205,Oracle Arena,803436,19596
3,Toronto Raptors*,27.3,58,24,0.543,12.4,21.9,0.198,0.509,13.1,77.1,0.19,Scotiabank Arena,812822,19825
4,Utah Jazz*,27.3,50,32,0.538,13.4,22.9,0.217,0.507,12.4,80.3,0.189,Vivint Smart Home Arena,750546,18306
5,Houston Rockets*,29.2,53,29,0.542,12,22.8,0.221,0.525,13.4,74.4,0.21,Toyota Center,740392,18058
6,Portland Trail Blazers*,26.2,53,29,0.528,12.1,26.6,0.21,0.516,11,77.9,0.195,Moda Center,799345,19496
7,Denver Nuggets*,24.9,54,28,0.527,11.9,26.6,0.175,0.521,12.3,78,0.194,Pepsi Center,756457,18450
8,Boston Celtics*,25.7,49,33,0.534,11.5,21.6,0.173,0.514,13.4,77,0.198,TD Garden,763584,18624
9,Oklahoma City Thunder*,25.7,49,33,0.514,11.7,26,0.19,0.523,14.4,78.2,0.206,Chesapeake Energy Arena,746323,18203
10,Indiana Pacers*,27,48,34,0.53,12.4,21.9,0.182,0.516,14.1,76.2,0.184,Bankers Life Fieldhouse,689310,16812
11,Philadelphia 76ers*,26.4,51,31,0.532,12.9,24.5,0.241,0.512,11.1,78.6,0.206,Wells Fargo Center,838342,20447
12,San Antonio Spurs*,28.8,48,34,0.534,11,21,0.194,0.528,11,79.4,0.17,AT&T Center,750616,18308
13,Los Angeles Clippers*,27.2,48,34,0.529,12.7,22,0.258,0.514,11.4,76,0.224,STAPLES Center,710327,17325
14,Orlando Magic*,25.7,42,40,0.518,11.9,22,0.168,0.515,11.8,79.7,0.186,Amway Center,720024,17431
15,Brooklyn Nets*,25.4,42,40,0.52,13,23.8,0.211,0.512,11.6,76.4,0.19,Barclays Center,612597,14941
16,Miami Heat,27,39,43,0.515,13.1,24.8,0.172,0.51,12.7,77.6,0.201,AmericanAirlines Arena,805264,19641
17,Detroit Pistons*,26.9,41,41,0.509,12.3,24.8,0.195,0.526,12.8,78.7,0.211,Little Caesars Arena,675963,16487
18,Sacramento Kings,24.8,39,43,0.524,11.5,23.1,0.177,0.533,13.6,75.5,0.207,Golden 1 Center,700975,17097
19,Dallas Mavericks,26.9,33,49,0.519,12.7,22.7,0.216,0.522,11.6,77.5,0.191,American Airlines Center,820569,20014
20,Minnesota Timberwolves,26.2,36,46,0.511,11.4,24.6,0.21,0.538,12.9,74.9,0.19,Target Center,627543,15306
21,New Orleans Pelicans,25.7,33,49,0.529,12.6,24.1,0.193,0.532,11.6,76.8,0.193,Smoothie King Center,656183,16004
22,Charlotte Hornets,26.6,39,43,0.514,10.9,21.7,0.205,0.538,12.1,77.1,0.179,Spectrum Center,676570,16502
23,Los Angeles Lakers,26.2,37,45,0.527,13.4,22.2,0.18,0.516,12.2,76.4,0.192,STAPLES Center,778877,18997
24,Memphis Grizzlies,27.7,33,49,0.508,12.9,20,0.21,0.521,13.9,77.6,0.232,FedEx Forum,638332,15569
25,Washington Wizards,26.5,32,50,0.531,12.3,21.3,0.204,0.546,13.5,74.1,0.199,Capital One Arena,716996,17448
26,Atlanta Hawks,25.1,29,53,0.522,14.3,24.7,0.192,0.541,12.8,76.4,0.237,State Farm Arena,628440,15328
27,Chicago Bulls,24,22,60,0.505,12.7,19.4,0.184,0.541,11.9,77.3,0.188,United Center,823475,20085
28,Phoenix Suns,24,19,63,0.514,13.8,20.5,0.202,0.545,13.5,72.5,0.236,Talking Stick Resort Arena,627023,15293
29,New York Knicks,23.4,17,65,0.49,12.4,22.1,0.205,0.533,11.7,76.1,0.203,Madison Square Garden (IV),779087,19002
30,Cleveland Cavaliers,25.2,19,63,0.503,12.2,23.7,0.187,0.564,11.5,77,0.181,Quicken Loans Arena,793337,19350